resolution_time,event_number,issue_length,participant_number,entropy,project_name,core_issue,normal_issue,core_assign,core_label,core_subscribe,before_average_time,slice_average_time
87.38505232,6.968609865,13.91210762,4.119880419,1.915015633,microsoft/vscode,2.018834081,1.308221226,1.444245142,3.252914798,1.130343797,191.6361927,117.3924396
113.9173901,6.373284794,12.63679642,3.892467096,1.84049173,microsoft/vscode,2.260991319,1.03108373,1.60683282,3.148977877,1.033043965,191.6361927,117.3924396
129.3748459,8.498150432,22.7891492,5.474722565,1.854463672,microsoft/vscode,4.372379778,0.646115906,2.540073983,4.092478422,5.315659679,185.3392724,101.0847311
105.2372754,7.142215569,13.125,4.373502994,1.922558811,microsoft/vscode,1.125748503,0.405688623,1.585329341,4.120508982,0.269461078,185.3392724,101.0847311
74.94767971,5.57688808,8.925841674,3.254322111,1.622088816,microsoft/vscode,1.839854413,0.621474067,1.194722475,2.539126479,0.20655141,185.3392724,101.0847311
69.07398976,6.031303358,9.501992032,3.471826978,1.726524223,microsoft/vscode,1.870802504,0.729652817,1.241320433,2.652817302,0.157085942,185.3392724,101.0847311
115.0449275,9.268115942,23.65217391,5.530434783,1.892783985,microsoft/vscode,3.44057971,3.373913043,1.737681159,4.626086957,3.785507246,185.3392724,101.0847311
90.80049261,7.917487685,18.66625616,4.947044335,1.83290477,microsoft/vscode,2.802955665,2.900246305,1.518472906,3.310344828,1.009852217,185.3392724,101.0847311
104.8609803,7.520908336,15.63306563,4.674605372,1.977331692,microsoft/vscode,2.125173082,0.637496538,1.732484076,4.021323733,1.55801717,178.5710643,114.3549138
70.20266198,6.521094927,12.76217981,4.044952285,1.902954805,microsoft/vscode,2.768206931,1.453038674,1.225765947,2.595680563,1.03013561,178.5710643,114.3549138
58.29281046,6.907189542,11.48496732,4.133333333,1.826249853,microsoft/vscode,1.149019608,0.158169935,1.392156863,3.728104575,0.345098039,172.4857262,86.6851047
68.63350402,6.142648135,9.874908559,3.672275055,1.747321849,microsoft/vscode,1.956108266,0.607168983,1.322604243,2.846378932,0.160936357,172.4857262,86.6851047
51.89778325,5.372536946,7.892241379,3.20135468,1.539561481,microsoft/vscode,1.972906404,0.899014778,0.651477833,1.863916256,0.07820197,172.4857262,86.6851047
128.6241206,6.648241206,11.32864322,4.378894472,1.857731137,microsoft/vscode,0.748743719,0.380904523,1.423115578,3.930653266,0.136683417,172.4857262,86.6851047
78.06825939,6.290102389,10.86006826,4.440273038,1.754051349,microsoft/vscode,1.672354949,2.433447099,1.194539249,2.194539249,0.273037543,172.4857262,86.6851047
239.2801418,8.560283688,21.77659574,5.510638298,1.829991647,microsoft/vscode,1.773049645,0.379432624,2.156028369,4.039007092,0.666666667,172.4857262,86.6851047
93.66,8.411578947,23.06526316,5.411578947,1.853146287,microsoft/vscode,4.772631579,0.458947368,2.442105263,4.013684211,5.468421053,172.4857262,86.6851047
118.7890909,8.938181818,21.77090909,5.612727273,1.907059762,microsoft/vscode,3.432727273,3.396363636,1.749090909,3.605454545,3.961818182,172.4857262,86.6851047
95.73484848,8.300505051,20.53535354,5.491161616,1.839610695,microsoft/vscode,3.03030303,3.29040404,1.411616162,3.702020202,1.204545455,172.4857262,86.6851047
121.8423237,7.366528354,15.06777317,4.782849239,1.818384996,microsoft/vscode,3.795297372,0.710926694,1.836791148,3.477178423,0.496542185,172.4857262,86.6851047
81.53950256,7.385149963,14.05120702,5.063643014,1.989497356,microsoft/vscode,2.341989759,2.120336503,1.126920263,1.860277981,1.12911485,166.9613959,64.92307692
109.9532658,7.586852477,15.48155968,4.803068694,2.012950426,microsoft/vscode,2.115005631,0.616835586,1.720016892,3.733952703,1.409628378,166.9613959,64.92307692
121.1512027,9.408934708,22.66494845,6.130584192,1.912346569,microsoft/vscode,2.66838488,3.621993127,1.178694158,2.970790378,1.391752577,162.1542799,102.0570238
117.4015936,9.166533865,24.23505976,5.760159363,1.92648219,microsoft/vscode,4.416733068,0.552988048,2.456573705,3.923505976,4.809561753,162.1542799,102.0570238
147.952381,8.154195011,14.63265306,5.138321995,1.671691988,microsoft/vscode,0.712018141,1.154195011,1.845804989,2.614512472,0.580498866,162.1542799,102.0570238
88.70253807,6.829441624,11.32791878,4.513705584,1.824274103,microsoft/vscode,2.045685279,1.617258883,1.150253807,2.405076142,0.235532995,162.1542799,102.0570238
74.30589255,8.142114385,15.46317158,5.314558059,1.829703043,microsoft/vscode,1.189341421,0.389514731,1.272963605,3.617417678,0.470537262,162.1542799,102.0570238
79.32089552,7.323880597,10.75074627,4.576119403,1.639603598,microsoft/vscode,1.202985075,1.125373134,1.008955224,1.207462687,0.182089552,162.1542799,102.0570238
123.7674419,9.715946844,22.12624585,5.84551495,1.922058546,microsoft/vscode,2.795681063,3.219269103,1.303986711,3.071428571,4.044850498,162.1542799,102.0570238
71.3317757,7.247663551,10.01752336,4.53271028,1.611492933,microsoft/vscode,1.087616822,1.202102804,0.913551402,1.480140187,0.188084112,162.1542799,102.0570238
